case,input_width,split_bit,input_transform,output_transform,matches,total,exact,match_ratio,examples
ex289,16,3,reverse_comp_except_split,pair_swap,0,16384,0,0.000000,x=0x0:p=0xefff:pred=0x0:exp=0xdfff;x=0x1:p=0x6fff:pred=0x4000:exp=0xff5f;x=0x2:p=0xafff:pred=0x2000:exp=0xf5ff
ex289,16,3,reverse_comp_except_split,comp_pair_swap,0,16384,0,0.000000,x=0x0:p=0xefff:pred=0xffff:exp=0xdfff;x=0x1:p=0x6fff:pred=0xbfff:exp=0xff5f;x=0x2:p=0xafff:pred=0xdfff:exp=0xf5ff
ex289,16,3,reverse,identity,276,16384,0,0.016846,x=0x1000:p=0x8:pred=0x4:exp=0x20;x=0x1001:p=0x8008:pred=0x8008:exp=0x2002;x=0x1002:p=0x4008:pred=0x1001:exp=0x2002
ex289,16,3,reverse,comp,236,16384,0,0.014404,x=0x1000:p=0x8:pred=0xfffb:exp=0x20;x=0x1001:p=0x8008:pred=0x7ff7:exp=0x2002;x=0x1002:p=0x4008:pred=0xeffe:exp=0x2002
ex289,16,3,reverse,reverse,300,16384,0,0.018311,x=0x1000:p=0x8:pred=0x2000:exp=0x20;x=0x1001:p=0x8008:pred=0x1001:exp=0x2002;x=0x1002:p=0x4008:pred=0x8008:exp=0x2002
ex289,16,3,reverse,comp_reverse,384,16384,0,0.023438,x=0x1000:p=0x8:pred=0xdfff:exp=0x20;x=0x1001:p=0x8008:pred=0xeffe:exp=0x2002;x=0x1002:p=0x4008:pred=0x7ff7:exp=0x2002
ex289,16,3,reverse,pair_swap,48,16384,0,0.002930,x=0x1000:p=0x8:pred=0x4:exp=0x20;x=0x1001:p=0x8008:pred=0x8008:exp=0x2002;x=0x1002:p=0x4008:pred=0x1001:exp=0x2002
ex289,16,3,reverse,comp_pair_swap,20,16384,0,0.001221,x=0x1000:p=0x8:pred=0xfffb:exp=0x20;x=0x1001:p=0x8008:pred=0x7ff7:exp=0x2002;x=0x1002:p=0x4008:pred=0xeffe:exp=0x2002
ex289,16,4,comp_all,identity,803,32768,0,0.024506,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x4000:exp=0xfffd;x=0x2:p=0xfffd:pred=0x2000:exp=0xfffb
ex289,16,4,comp_all,comp,1,32768,0,0.000031,x=0x1:p=0xfffe:pred=0xbfff:exp=0xfffd;x=0x2:p=0xfffd:pred=0xdfff:exp=0xfffb;x=0x3:p=0xfffc:pred=0xfff3:exp=0xcfff
ex289,16,4,comp_all,reverse,0,32768,0,0.000000,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x2:exp=0xfffd;x=0x2:p=0xfffd:pred=0x4:exp=0xfffb
ex289,16,4,comp_all,comp_reverse,32768,32768,1,1.000000,
ex289,16,4,comp_all,pair_swap,131,32768,0,0.003998,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x4000:exp=0xfffd;x=0x2:p=0xfffd:pred=0x2000:exp=0xfffb
ex289,16,4,comp_all,comp_pair_swap,33,32768,0,0.001007,x=0x1:p=0xfffe:pred=0xbfff:exp=0xfffd;x=0x2:p=0xfffd:pred=0xdfff:exp=0xfffb;x=0x3:p=0xfffc:pred=0xfff3:exp=0xcfff
