case,model,input_order,output_order,layer,layer_size,matches,match_ratio,param,mean_cyclic_distance,max_cyclic_distance
ex286,affine,gray_value,brgc_index,9,715,6,0.008392,a=7;b=119,165.401399,357
ex286,affine,gray_value,brgc_index,10,286,5,0.017483,a=-3;b=179,61.804196,142
ex286,affine,gray_value,brgc_index,11,78,6,0.076923,a=-11;b=74,19.756410,39
ex286,affine,gray_value,brgc_index,12,13,4,0.307692,a=-2;b=9,2.692308,6
ex286,affine,gray_value,brgc_index,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,gray_then_reverse,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,gray_then_reverse,1,13,4,0.307692,a=-1;b=6,1.846154,4
ex286,affine,gray_value,gray_then_reverse,2,78,7,0.089744,a=1;b=11,13.641026,39
ex286,affine,gray_value,gray_then_reverse,3,286,6,0.020979,a=3;b=227,67.468531,143
ex286,affine,gray_value,gray_then_reverse,4,715,6,0.008392,a=1;b=213,156.683916,357
ex286,affine,gray_value,gray_then_reverse,5,1287,7,0.005439,a=7;b=1116,320.599845,643
ex286,affine,gray_value,gray_then_reverse,6,1716,6,0.003497,a=1;b=1222,415.555361,857
ex286,affine,gray_value,gray_then_reverse,7,1716,6,0.003497,a=-7;b=293,423.768065,857
ex286,affine,gray_value,gray_then_reverse,8,1287,6,0.004662,a=-7;b=10,299.054390,643
ex286,affine,gray_value,gray_then_reverse,9,715,6,0.008392,a=2;b=685,177.702098,357
ex286,affine,gray_value,gray_then_reverse,10,286,7,0.024476,a=-7;b=199,69.748252,143
ex286,affine,gray_value,gray_then_reverse,11,78,5,0.064103,a=5;b=73,17.705128,38
ex286,affine,gray_value,gray_then_reverse,12,13,5,0.384615,a=-1;b=0,1.615385,6
ex286,affine,gray_value,gray_then_reverse,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,gray_value,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,gray_value,1,13,4,0.307692,a=1;b=6,1.769231,4
ex286,affine,gray_value,gray_value,2,78,5,0.064103,a=-5;b=24,19.538462,38
