case,status,evaluate_area,evaluate_delay,evaluate_adp,selection_area,selection_delay,selection_adp,qor_match,candidate_id,aig_path
ex289,OK,1047,19,19893,1047,19,19893,1,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex289/aigs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig.aig
ex290,OK,4376,14,61264,4376,14,61264,1,ex290_r8_rotate_parallel_case_attrs,student/new_seeds/unknown/ex280_ex299_current/ex290/aigs/ex290_r8_rotate_parallel_case_attrs.aig
ex291,OK,6447,14,90258,6447,14,90258,1,ex291_r8_rotate_parallel_case_attrs,student/new_seeds/unknown/ex280_ex299_current/ex291/aigs/ex291_r8_rotate_parallel_case_attrs.aig
ex292,OK,6743,20,134860,6743,20,134860,1,ex292_r8_mod7_4_drop_mod7_13,student/new_seeds/unknown/ex280_ex299_current/ex292/aigs/ex292_r8_mod7_4_drop_mod7_13.aig
ex293,OK,8054,18,144972,8054,18,144972,1,ex293_rotate_low_split_default_synth_preset,student/new_seeds/unknown/ex280_ex299_current/ex293/aigs/ex293_rotate_low_split_default_synth_preset.aig
ex294,OK,10497,21,220437,10497,21,220437,1,ex294_r8_current_synth_preset,student/new_seeds/unknown/ex280_ex299_current/ex294/aigs/ex294_r8_current_synth_preset.aig
ex295,OK,7311,13,95043,7311,13,95043,1,ex295_r67_bit_plane_cube_defaults_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex295/aigs/ex295_r67_bit_plane_cube_defaults_abc_g_aig.aig
ex296,OK,8987,16,143792,8987,16,143792,1,ex296_high_split_default_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex296/aigs/ex296_high_split_default_abc_g_aig.aig
ex297,OK,26188,16,419008,26188,16,419008,1,ex297_r9_casez_full_parallel_synth_preset,student/new_seeds/unknown/ex280_ex299_current/ex297/aigs/ex297_r9_casez_full_parallel_synth_preset.aig
ex298,OK,33802,18,608436,33802,18,608436,1,ex298_r7_rotate_split_parallel_case_attrs,student/new_seeds/unknown/ex280_ex299_current/ex298/aigs/ex298_r7_rotate_split_parallel_case_attrs.aig
ex299,OK,96502,18,1737036,96502,18,1737036,1,ex299_r9_pairsel_center_quad_synth_preset,student/new_seeds/unknown/ex280_ex299_current/ex299/aigs/ex299_r9_pairsel_center_quad_synth_preset.aig
