case,input_coord,output_coord,degree,exact_bits,total_bits,total_terms,low_degree_terms,max_degree,bit_term_counts,bit_degrees,notes
ex286,gray_natural,suffix_natural,2,1,13,37223,539,13,7:3692:3658:3593:3435:2304:2256:2285:2247:3484:3592:3391:3279,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_reverse,2,1,13,37223,539,13,7:3692:3658:3593:3435:2304:2256:2285:2247:3484:3592:3391:3279,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_natural,1,1,13,37223,92,13,7:3692:3658:3593:3435:2304:2256:2285:2247:3484:3592:3391:3279,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_reverse,1,1,13,37223,92,13,7:3692:3658:3593:3435:2304:2256:2285:2247:3484:3592:3391:3279,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_natural,4,1,13,38997,5881,13,7:3864:3802:3805:3413:2444:2434:2423:2425:3750:3752:3611:3267,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_reverse,4,1,13,38997,5881,13,7:3864:3802:3805:3413:2444:2434:2423:2425:3750:3752:3611:3267,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_natural,3,1,13,38997,1949,13,7:3864:3802:3805:3413:2444:2434:2423:2425:3750:3752:3611:3267,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_reverse,3,1,13,38997,1949,13,7:3864:3802:3805:3413:2444:2434:2423:2425:3750:3752:3611:3267,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_natural,2,1,13,38997,421,13,7:3864:3802:3805:3413:2444:2434:2423:2425:3750:3752:3611:3267,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_reverse,2,1,13,38997,421,13,7:3864:3802:3805:3413:2444:2434:2423:2425:3750:3752:3611:3267,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_natural,1,1,13,38997,74,13,7:3864:3802:3805:3413:2444:2434:2423:2425:3750:3752:3611:3267,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_reverse,1,1,13,38997,74,13,7:3864:3802:3805:3413:2444:2434:2423:2425:3750:3752:3611:3267,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_natural,4,1,13,39001,5885,13,3865:3803:3808:3412:2447:2427:2430:2420:3753:3749:3616:3264:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_reverse,4,1,13,39001,5885,13,3865:3803:3808:3412:2447:2427:2430:2420:3753:3749:3616:3264:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_natural,3,1,13,39001,1953,13,3865:3803:3808:3412:2447:2427:2430:2420:3753:3749:3616:3264:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_reverse,3,1,13,39001,1953,13,3865:3803:3808:3412:2447:2427:2430:2420:3753:3749:3616:3264:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_natural,2,1,13,39001,425,13,3865:3803:3808:3412:2447:2427:2430:2420:3753:3749:3616:3264:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_reverse,2,1,13,39001,425,13,3865:3803:3808:3412:2447:2427:2430:2420:3753:3749:3616:3264:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_natural,1,1,13,39001,78,13,3865:3803:3808:3412:2447:2427:2430:2420:3753:3749:3616:3264:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_reverse,1,1,13,39001,78,13,3865:3803:3808:3412:2447:2427:2430:2420:3753:3749:3616:3264:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,prefix_natural,suffix_onehot,4,1,13,40832,5792,13,4259:4137:3977:4129:3860:768:3861:3902:2349:2707:4003:1:2879,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,suffix_reverse,suffix_onehot,4,1,13,40832,5792,13,4259:4137:3977:4129:3860:768:3861:3902:2349:2707:4003:1:2879,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,prefix_natural,suffix_onehot,3,1,13,40832,1901,13,4259:4137:3977:4129:3860:768:3861:3902:2349:2707:4003:1:2879,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,suffix_reverse,suffix_onehot,3,1,13,40832,1901,13,4259:4137:3977:4129:3860:768:3861:3902:2349:2707:4003:1:2879,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,prefix_natural,suffix_onehot,2,1,13,40832,384,13,4259:4137:3977:4129:3860:768:3861:3902:2349:2707:4003:1:2879,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,suffix_reverse,suffix_onehot,2,1,13,40832,384,13,4259:4137:3977:4129:3860:768:3861:3902:2349:2707:4003:1:2879,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,prefix_natural,suffix_onehot,1,1,13,40832,37,13,4259:4137:3977:4129:3860:768:3861:3902:2349:2707:4003:1:2879,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,suffix_reverse,suffix_onehot,1,1,13,40832,37,13,4259:4137:3977:4129:3860:768:3861:3902:2349:2707:4003:1:2879,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,prefix_natural,prefix_onehot,4,1,13,40840,5800,13,2880:4130:3862:4260:769:1:3903:3861:4004:2348:4138:2706:3978,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,suffix_reverse,prefix_onehot,4,1,13,40840,5800,13,2880:4130:3862:4260:769:1:3903:3861:4004:2348:4138:2706:3978,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,prefix_natural,prefix_onehot,3,1,13,40840,1909,13,2880:4130:3862:4260:769:1:3903:3861:4004:2348:4138:2706:3978,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
